feature id,name,obs_freq,th_freq,dev (%)
1,JHipster,1.000000,1.000000,0.000000
2,Hibernate2ndLvlCache,0.649800,0.647166,0.406949
3,HazelCast,0.326200,0.323583,0.808701
4,EhCache,0.323600,0.323583,0.005198
5,Server,0.052550,0.051798,1.452412
6,MicroserviceApplication,0.035050,0.034735,0.907105
7,UaaServer,0.017500,0.017063,2.562500
8,BackEnd,1.000000,1.000000,0.000000
9,Gradle,0.504350,0.500000,0.870000
10,Maven,0.495650,0.500000,0.870000
11,Generator,1.000000,1.000000,0.000000
12,Authentication,1.000000,1.000000,0.000000
13,SocialLogin,0.266050,0.268129,0.775443
14,Database,0.999400,0.999391,0.000939
15,SpringWebSockets,0.476700,0.474101,0.548162
16,Libsass,0.470450,0.474101,0.770122
17,ClusteredSession,0.472900,0.474101,0.253355
18,InternationalizationSupport,0.499700,0.500000,0.060000
19,Docker,0.500100,0.500000,0.020000
20,TestingFrameworks,1.000000,1.000000,0.000000
21,Production,0.970100,0.970750,0.066911
22,MySQL,0.324450,0.323583,0.267881
23,MariaDB,0.322350,0.323583,0.381102
24,PostgreSQL,0.323300,0.323583,0.087514
25,SQL,0.970100,0.970750,0.066911
26,Cassandra,0.011100,0.010664,4.086286
27,MongoDB,0.018200,0.017977,1.241356
28,Development,0.970100,0.970750,0.066911
29,H2,0.652600,0.647166,0.839605
30,PostgreSQLDev,0.105800,0.107861,1.910847
31,MariaDBDev,0.105000,0.107861,2.652542
32,MySQLDev,0.106700,0.107861,1.076441
33,DiskBased,0.325300,0.323583,0.530565
34,InMemory,0.327300,0.323583,1.148644
35,ElasticSearch,0.492850,0.485375,1.540094
36,HTTPSession,0.272850,0.270567,0.843885
37,OAuth2,0.132600,0.134065,1.092455
38,Uaa,0.172400,0.170932,0.858610
39,JWT,0.422150,0.424436,0.538672
40,Protractor,0.947450,0.948202,0.079341
41,Gatling,1.000000,1.000000,0.000000
42,Cucumber,1.000000,1.000000,0.000000
43,Application,0.947450,0.948202,0.079341
44,MicroserviceGateway,0.272450,0.273004,0.203025
45,Monolithic,0.675000,0.675198,0.029332
